"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1295","Super Arcade Football","Apr 4, 2016","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","OutOfTheBit Ltd","OutOfTheBit Ltd"
"1296","Headsnatchers","Nov 7, 2019","$7.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","IguanaBee","Iceberg Interactive"
"1298","Golf Peaks","Nov 13, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Afterburn","Afterburn"
"1299","Mount Wingsuit","Aug 25, 2016","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ninja Whale Studios","Ninja Whale Studios"
"1300","Sea Bubble","Sep 27, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","KST Studio","Beltane Games"
"1301","Hot Shot Burn","Aug 15, 2019","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Flaming Flamingo","Artifex Mundi"
"1303","Virtual-O","Dec 7, 2016","$39.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Contours","Contours"
"1304","Crazy Fishing","May 25, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mana Wings","Mana Wings"
"1305","Spike Volleyball","Feb 5, 2019","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Black Sheep Studio","Bigben Interactive"
"1306","Pro Basketball Manager 2016","Jan 14, 2016","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Cyanide Studio, Umix Studios","Bigben Interactive"
"1307","Legend of GBC Tycoon GBC土豪金传说","Mar 15, 2019","$1.59","N/A (N/A)","0 .. 20,000","00:00 (00:00)","绚丽奈落","0Cube"
"1308","FutureGrind","Jan 22, 2019","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Milkbag Games","Milkbag Games"
"1310","Pro Gamer Manager 2","Oct 5, 2017","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Millenway","Millenway"
"1311","Worldwide Sports Fishing","Oct 29, 2019","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lotte|EoD","Agger Interactive"
"1312","Let's Bowl VR - Bowling Game","Aug 7, 2017","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rising Fun Games","Rising Fun Games"
"1313","Drift King: Survival","Nov 24, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Destiny.Games","Destiny.Games"
"1314","PC Fútbol Stars","Nov 7, 2019","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Rashin Game Studio","IDC/Games"
"1315","Timber Tennis: Versus","Nov 8, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Digital Melody","Crunching Koalas"
"1316","Octoshield VR","Jun 14, 2016","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Liana Pigeot","Liana Pigeot"
"1317","Blobby Tennis","May 12, 2017","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","SlinDev","SlinDev"
"1318","Surf World Series","Aug 30, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Climax Studios","Vision Games Publishing LTD"
"1319","Bowslinger","Apr 5, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Pompaduo","Pompaduo"
"1320","Most Correct Football Simulator","May 21, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Kiddy","Kiddy"
"1321","Assault Corps 2","Jul 15, 2015","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","AOS GAME","AOS GAME"
"1322","Pong It! VR","Sep 19, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Mergin Studio","Mergin Studio"
"1323","Beat the Blitz","Mar 1, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Mill","Gatorade"
"1324","Pumped BMX Pro","Feb 7, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Yeah Us!, Warp Digital Entertainment","Curve Digital"
"1325","Bang Bang Car","Apr 18, 2017","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Galaxy Game Studio","Galaxy Game Studio"
"1326","Block Party Sports","May 3, 2018","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","All-Star Apps, LLC","All-Star Apps, LLC"
"1327","Handball Action Total","Feb 16, 2018","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","netmin games","netmin games"
"1328","PRO FISHING SIMULATOR","Nov 29, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sanuk Games","Bigben Interactive"
"1329","Olson's Boxing Challenge","Nov 20, 2017","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Jake Olson","Impartial Studios"
"1330","Foosball VR","Nov 9, 2018","$16.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Coduar","Coduar"
"1331","Score a goal 2 (Physical football)","Mar 16, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","BulatHard","BulatHard"
"1332","Baseball Mogul 2017","Aug 8, 2017","$29.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Sports Mogul, Inc.","Sports Mogul, Inc."
"1333","Mine the Gold","Apr 10, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","A Nostru","A Nostru"
"1334","GACHIMUCHI The Card Game","Mar 7, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","M♂NLY","M♂NLY"
"1335","VALENS","Feb 18, 2016","$7.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Digitallion","Digitallion"
"1336","Punch Pad Workout","Aug 14, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","MobileFusion Apps Ltd","MobileFusion Apps Ltd"
"1337","Platform Golf","Jan 2, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Patrick Hofmann","Bytecrunch"
"1338","Too White Basketball","Jun 10, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CSM","W. T. B."
"1339","Pixel Puzzles 2: Christmas","Nov 27, 2018","$2.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","DL Softworks","The Digital Puzzle Company"
"1340","Billiards","Sep 6, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","baKno Games","baKno Games"
"1341","All-Star Fielding Challenge VR","Apr 3, 2017","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","8-Bit Development Inc.","8-Bit Development Inc."
"1342","Baskhead","Jul 19, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRLINES","VRLINES"
"1343","DREAM GIRLS VR","Nov 17, 2018","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","tomimar","tomimar"
"1344","Virtual Foosball","May 7, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shrimmeling Studio","Shrimmeling Studio"
"1346","Draft Day Sports: Pro Basketball 2019","Nov 13, 2018","$19.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Wolverine Studios","Wolverine Studios"
"1348","Shadow Fencer Theatre","Jun 25, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ShuddaHaddaLottaFun","ShuddaHaddaLottaFun"
"1349","Need for Spirit: Off-Road Edition","Mar 7, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Atomic Fabrik, Cristian Manolachi","Atomic Fabrik, Cristian Manolachi"
"1350","Hit&Run VR baseball","Apr 4, 2019","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Twohands Creative","Twohands Creative"
"1351","Thunder Spheres - Virtual Reality 3D Pool","Dec 9, 2016","$2.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","stickee","stickee"
"1352","kicker","Jun 13, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","ZREALITY GmbH","Olympia Verlag GmbH"
"1353","G.A.C.K. - Gaming App Construction Kit","Aug 29, 2019","$8.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Gernot Frisch","Dream Design Entertainment"
"1354","BALL GAME","Nov 10, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Blueshift Media","Blueshift Media"
"1355","Kaleido Chaos","Aug 28, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Weiqiang Ou","Weiqiang Ou"
"1356","Snow Clearing Driving Simulator","Sep 23, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","A Nostru","A Nostru"
"1357","ATV Simulator VR","Mar 20, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Builder7",""
"1358","Runster","Oct 18, 2019","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Keerati Tanakitjaroenpat, Nattavadee Suchato, Athicha Supasaringkarn","Runnex technology"
"1359","Elite Encounter","May 4, 2017","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hin Lam","BubbleFish Entertainment"
"1360","Whacker Guy: Distance Hunter","Aug 30, 2018","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Micro Revolution LLC","Micro Revolution LLC"
"1361","Ceggtcher VR","Sep 27, 2016","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Funny Twins","Funny Twins"
"1362","IgKnight Golf Defender","Nov 6, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Ignite VR","Ignite VR"
"1363","DriftWay","Sep 3, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PlatSTUDIO","PlatSTUDIO, AFBIK Studio"
"1364","Slamdunk VR","Apr 23, 2018","$17.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","亿鑫海信息科技有限公司","亿鑫海信息科技有限公司"
"1365","HandPass VR","Nov 24, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Constructive Media","Constructive Media"
"1366","HENTAI Sliding Puzzle","Aug 9, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hentai - Color by Number","Hentai - Color by Number"
"1367","GUNSMOKE","Apr 25, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Vincent Foster, Robert","Retro Bullet"
"1368","I See You","Jan 22, 2019","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VR Triber","VR Triber"
"1369","SUB FOUR -the uncle-","Oct 8, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Hellshake Yano","Hellshake Yano."
"1370","Game club ""Waka-Waka""","Apr 10, 2019","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","FastGame","FastGame"
"1371","Paintball 707","Nov 30, 2016","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Lotte|EoD","Agger Interactive"
"1372","VR RHYTHM ACTION SEIYA","Mar 14, 2018","$18.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","WANDV.INC","WANDV.INC"
"1374","Star Drift","Feb 22, 2018","$11.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Catze","Catze"
"1375","Night City 2177","Feb 23, 2019","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Alongini","Alongini"
"1376","Cricket Captain 2017","Jul 6, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Childish Things","KISS ltd"
"1377","AI Dummy","Nov 17, 2017","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Narko Games","Narko Games"
"1379","CosmoDrive: Zero","Nov 29, 2018","$0.49","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Diamond Cats Studio","Diamond Cats Studio"
"1380","Arrowpoint","Dec 11, 2017","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Spotted Zebra Software LLC","Spotted Zebra Software LLC"
"1381","The Professor Presents: #GotHandles","Apr 13, 2017","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","The Secret Location","Mountain Dew"
"1382","PLANNES","Dec 8, 2016","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Tricol Co., Ltd.","Tricol Co., Ltd."
"1383","Canadian Football 2017","Jul 26, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Canuck Play Inc.","Canuck Play Inc."
"1384","Kama Bullet Heritage 2","Apr 18, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Narko Games","Narko Games"
"1385","VIDEO GAME","Nov 12, 2018","$0.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Luke Sanderson","Luke Sanderson"
"1386","Mech League Boxing","Jan 10, 2018","$8.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","VRGEN","VRGEN"
"1387","Hotlap Heroes","Apr 11, 2019","$4.79","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Team Pea","Team Pea"
"1388","Paddle Battle","Oct 25, 2017","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Birdshark! Games","Birdshark! Games"
"1389","Axe Throw VR","Sep 17, 2018","$6.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","PsychicParrot","PsychicParrot"
"1390","King of Texas","Feb 21, 2019","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","King Key Games","King Key Games"
"1391","JUST BAT (VR CRICKET)","Sep 12, 2016","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Shashitha Kularatna","Life VR"
"1392","MMA Simulator","Sep 25, 2018","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Zever Games","Zever Games"
"1393","CyberClub-2077","Sep 27, 2017","$9.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Dalian Magical Storm Network Technology Co. Ltd.","Dalian Magical Storm Network Technology Co. Ltd."
"1394","AWS Argentina Wingshooting Simulator","Nov 8, 2017","$3.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Curse Box Studios","AWS"
"1395","Eat, Sleep, Bet, Repeat","Oct 26, 2017","$14.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Strategic Designs Ltd.","Strategic Designs Ltd."
"1396","Head It!: VR Soccer Heading Game","Oct 19, 2016","$5.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","CFlat","Degica"
"1397","Flag N Frag","Apr 29, 2016","$1.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","EDEVOX","EDEVOX"
"1398","Grid Clash VR","Sep 4, 2019","$0.89","N/A (N/A)","0 .. 20,000","00:00 (00:00)","Great Boolean","Great Boolean"
"1399","王者战车","Dec 23, 2018","Free","N/A (N/A)","0 .. 20,000","00:00 (00:00)","acechariot, acechariot","acechariot, acechariot"
