"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"366","Z1 Battle Royale: Test Server","Feb 24, 2016","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","NantG","Daybreak Game Company"
"378","VRChat","Feb 1, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","18:46 (01:21)","VRChat Inc.","VRChat Inc."
"381","Freestyle 2: Street Basketball","Apr 1, 2015","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","JOYCITY","JOYCITY"
"431","Ring of Elysium","Sep 19, 2018","Free","N/A (N/A)","5,000,000 .. 10,000,000","05:24 (06:25)","Aurora Studio","TCH Scarlet Limited"
"434","ARK: Survival Of The Fittest","Aug 29, 2017","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard"
"486","Counter-Strike Nexon: Studio","Oct 7, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","01:31 (01:44)","Valve Corporation, Nexon Korea Corporation","Nexon Korea Corporation"
"534","Infestation: The New Z","Nov 22, 2016","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:35 (00:48)","Fredaikis AB","Fredaikis AB"
"636","World of Tanks Blitz","Nov 9, 2016","Free","N/A (N/A)","5,000,000 .. 10,000,000","03:30 (01:43)","Wargaming Group Limited","Wargaming Group Limited"
"791","APB Reloaded","Dec 6, 2011","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:27 (00:17)","Little Orbit","Little Orbit"
"2","EVE Online","Dec 15, 2010","Free","N/A (N/A/88%)","2,000,000 .. 5,000,000","06:33 (05:07)","CCP","CCP"
"3","The Lord of the Rings Online","Jun 6, 2012","Free","N/A (N/A/86%)","2,000,000 .. 5,000,000","07:05 (02:21)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"7","RIFT","Mar 1, 2011","Free","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","Trion Worlds","Trion Worlds"
"12","Realm of the Mad God","Feb 20, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","00:13 (00:04)","Wild Shadow Studios, Deca Games","Deca Games"
"25","TERA","May 5, 2015","Free","N/A (N/A/77%)","2,000,000 .. 5,000,000","00:58 (00:38)","Bluehole, Inc.","En Masse Entertainment"
"28","Red Orchestra 2: Heroes of Stalingrad with Rising Storm","Sep 13, 2011","$4.99","N/A (N/A/76%)","2,000,000 .. 5,000,000","01:58 (01:15)","Tripwire Interactive","Tripwire Interactive"
"31","Star Conflict","Feb 27, 2013","Free","N/A (N/A/75%)","2,000,000 .. 5,000,000","00:00 (00:00)","Star Gem Inc.","Gaijin Entertainment"
"37","Block N Load","Apr 30, 2015","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","01:54 (01:06)","Toadman Interactive, Jagex, Artplant","Toadman Interactive, Jagex"
"40","DC Universe Online","Nov 2, 2011","Free","N/A (N/A/72%)","2,000,000 .. 5,000,000","02:17 (00:45)","Daybreak Game Company","Daybreak Game Company"
"44","Fallen Earth Free2Play","Feb 22, 2012","N/A","N/A (N/A/71%)","2,000,000 .. 5,000,000","00:00 (00:00)","Little Orbit","Little Orbit"
"52","Star Trek Online","Jan 31, 2012","Free","N/A (N/A/66%)","2,000,000 .. 5,000,000","00:01 (00:00)","Cryptic Studios","Perfect World Entertainment"
"55","Defiance","Jun 4, 2014","Free","N/A (N/A/64%)","2,000,000 .. 5,000,000","00:00 (00:00)","Trion Worlds","Trion Worlds"
"57","Spiral Knights","Jun 14, 2011","Free","N/A (N/A/64%)","2,000,000 .. 5,000,000","00:00 (00:00)","Grey Havens, LLC","Grey Havens, LLC"
"70","Last Man Standing","Mar 29, 2017","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Free Reign Entertainment, Free Reign Entertainment","Free Reign Entertainment"
"359","DayZ","Dec 13, 2018","$31.49","N/A (N/A)","2,000,000 .. 5,000,000","10:53 (17:52)","Bohemia Interactive","Bohemia Interactive"
"360","Cuisine Royale","Jun 15, 2018","Free","N/A (N/A)","2,000,000 .. 5,000,000","05:13 (06:48)","Darkflow Software","Gaijin Distribution KFT"
"379","Business Tour - Board Game with Online Multiplayer","Jul 27, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","03:15 (04:17)","Creobit","8Floor"
"382","Line of Sight","Jan 31, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","BlackSpot Entertainment","BlackSpot Entertainment"
"435","Knight Online","Jan 25, 2016","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Noah System, Mgame","NTTGame"
"487","Transformice","Jan 30, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","05:18 (03:01)","Atelier 801","Atelier 801"
"488","Romero's Aftermath","Sep 24, 2015","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:03 (00:02)","Free Reign Entertainment","OP Productions LLC, Free Reign East LLC"
"535","Tree of Savior (English Ver.)","Mar 28, 2016","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","IMCGAMES Co.,Ltd.","IMCGAMES Co.,Ltd."
"630","Just Survive","Jan 15, 2015","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:10 (00:06)","Daybreak Game Company","Daybreak Game Company"
"631","Survarium","Apr 2, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Vostok Games","Vostok Games"
"637","Fishing Planet","Aug 11, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","19:55 (06:38)","Fishing Planet LLC","Fishing Planet LLC"
"754","The Elder Scrolls Online","May 22, 2017","$9.99","N/A (N/A)","2,000,000 .. 5,000,000","48:12 (23:28)","Zenimax Online Studios","Bethesda Softworks"
"755","Crossout","Jul 26, 2017","Free","N/A (N/A)","2,000,000 .. 5,000,000","04:48 (03:03)","Targem Games","Gaijin Entertainment"
"845","Aura Kingdom","Jul 2014","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","X-Legend","Aeria Games"
"10","FINAL FANTASY XIV Online","Feb 18, 2014","$19.99","N/A (N/A/83%)","1,000,000 .. 2,000,000","20:36 (20:36)","Square Enix","Square Enix"
"13","WildStar","Jun 9, 2016","N/A","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","Carbine Studios","NCSOFT"
"18","Elite Dangerous","Apr 2, 2015","$29.99","N/A (N/A/80%)","1,000,000 .. 2,000,000","13:15 (10:26)","Frontier Developments","Frontier Developments"
"19","ArcheAge","Mar 26, 2015","Free","N/A (N/A/80%)","1,000,000 .. 2,000,000","00:00 (00:00)","XLGAMES","Trion Worlds"
"26","Vindictus","Jun 22, 2012","Free","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","devCAT","NEXON Korea Corp. & NEXON America Inc."
"29","WAKFU","Sep 18, 2014","Free","N/A (N/A/76%)","1,000,000 .. 2,000,000","00:00 (00:00)","Ankama Studio","Ankama Games"
"30","Stronghold Kingdoms","Feb 27, 2012","Free","N/A (N/A/75%)","1,000,000 .. 2,000,000","00:00 (00:00)","FireFly Studios","FireFly Studios"
"36","Albion Online","May 16, 2018","Free","N/A (N/A/72%)","1,000,000 .. 2,000,000","16:13 (10:46)","Sandbox Interactive GmbH","Sandbox Interactive GmbH"
"51","Conan Exiles","May 8, 2018","$39.99","N/A (N/A/68%)","1,000,000 .. 2,000,000","16:38 (16:25)","Funcom","Funcom"
"69","SCUM","Aug 29, 2018","$24.99","N/A (N/A)","1,000,000 .. 2,000,000","12:18 (04:06)","Gamepires, Croteam","Devolver Digital"
"71","SoulWorker - Anime Action MMO","Feb 26, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","11:41 (03:53)","Lion Games Co., Ltd.","Gameforge 4D GmbH"
"72","Metin2","May 8, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","WEBZEN Inc.","Gameforge 4D GmbH"
"74","Cubic Castles","Aug 13, 2014","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Cosmic Cow LLC","Cosmic Cow LLC"
"123","MapleStory 2","Oct 4, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Nexon Korea Corporation","Nexon America Inc."
"173","Hero Siege","Jan 29, 2014","$6.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Elias Viglione, Jussi Kukkonen","Panic Art Studios"
"174","MechWarrior Online Solaris 7","Dec 10, 2015","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Piranha Games Inc.","Piranha Games Inc."
"223","ATLAS","Dec 22, 2018","$4.79","N/A (N/A)","1,000,000 .. 2,000,000","49:38 (65:30)","Grapeshot Games, Instinct Games","Grapeshot Games"
"226","Ragnarok Online 2","May 1, 2013","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Gravity, Inc.","Gravity Interactive"
"228","Guns and Robots","Aug 4, 2014","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Masthead Studios Ltd","Masthead Studios Ltd, Thegamewallstudios, Gamigo AG"
"259","Elsword","Jul 2, 2014","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","KOG","KOG Games"
"391","Evolvation","Feb 6, 2017","$9.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","HyperReuts","HyperReuts"
"536","Dead Frontier 2","Jul 15, 2019","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Creaky Corpse Ltd","Creaky Corpse Ltd"
"632","Shakes and Fidget","Feb 24, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:01 (00:00)","Playa Games GmbH","Playa Games GmbH"
"639","MapleStory","Aug 9, 2012","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Nexon","Nexon America Inc."
"643","BROKE PROTOCOL: Online City RPG","Aug 26, 2017","$4.99","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Cylinder Studios","Cylinder Studios"
"688","Radical Heights","Apr 10, 2018","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Boss Key Productions","Boss Key Productions"
"756","Infestation: Survivor Stories Classic","","N/A","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","OP Productions LLC","OP Productions LLC"
"759","Russian Fishing 4","Jun 15, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","01:31 (01:23)","Russian Fishing","Russian Fishing"
"761","School of Dragons","Dec 4, 2014","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","JumpStart Games, Inc.","JumpStart Games, Inc."
"794","Riders of Icarus","Jul 6, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","WeMade","VALOFE"
"795","Panzar","Nov 25, 2013","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Panzar Studio","OVALIS INVESTMENTS LIMITED"
"843","ShellShock Live","Mar 11, 2015","$6.99","N/A (N/A)","1,000,000 .. 2,000,000","00:38 (00:25)","kChamp Games","kChamp Games"
"844","BRAIN / OUT","Feb 24, 2017","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:10 (00:06)","Desertkun","Desertkun"
"847","Digimon Masters Online","Nov 3, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","01:51 (00:37)","Move Games Co., Ltd.","MOVE ON USA CO."
"849","The SKIES","Apr 16, 2016","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Eforb","Eforb"
"897","Creative Destruction","Aug 2, 2018","Free","N/A (N/A)","1,000,000 .. 2,000,000","04:37 (03:04)","NetEase Games","NetEase Games"
"900","Dungeons & Dragons Online","Jun 25, 2012","Free","N/A (N/A)","1,000,000 .. 2,000,000","00:00 (00:00)","Standing Stone Games, LLC","Standing Stone Games, LLC"
"11","EverQuest II","Dec 7, 2011","Free","N/A (N/A/83%)","500,000 .. 1,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"14","Rising Storm 2: Vietnam","May 30, 2017","$8.25","N/A (N/A/81%)","500,000 .. 1,000,000","04:05 (04:04)","Antimatter Games, Tripwire Interactive","Tripwire Interactive"
"16","Faeria","Mar 8, 2017","$24.99","N/A (N/A/81%)","500,000 .. 1,000,000","00:00 (00:00)","Abrakam SA","Versus Evil"
"22","Bloodline Champions","Jan 13, 2011","Free","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Stunlock Studios","Stunlock Studios"
"23","Ragnarok Online","Oct 31, 2013","Free","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","Gravity Interactive","Gravity Interactive"
"24","Dungeon Fighter Online","Aug 9, 2016","Free","N/A (N/A/78%)","500,000 .. 1,000,000","00:00 (00:00)","Neople","Neople"
"27","Secret World Legends","Jul 31, 2017","Free","N/A (N/A/76%)","500,000 .. 1,000,000","00:00 (00:00)","Funcom","Funcom"
"34","WWII Online","Sep 5, 2017","Free","N/A (N/A/73%)","500,000 .. 1,000,000","00:00 (00:00)","Cornered Rat Software","Cornered Rat Software"
"38","Champions Online","Jun 14, 2011","Free","N/A (N/A/72%)","500,000 .. 1,000,000","00:00 (00:00)","Cryptic Studios","Perfect World Entertainment"
"53","Prime World","Mar 31, 2014","Free","N/A (N/A/65%)","500,000 .. 1,000,000","01:33 (00:31)","Nival","Nival"
"65","Nether: Resurrected","Jun 5, 2014","$4.99","N/A (N/A/57%)","500,000 .. 1,000,000","00:00 (00:00)","Phosphor Games Studio","Nether Productions, LLC"
"75","BLOCKADE Classic","Nov 5, 2014","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Novalink","Novalink"
"76","Spacelords","Sep 22, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","MercurySteam","Mercury Steam Entertainment s.l."
"122","BATTALION 1944","May 23, 2019","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:01 (00:00)","Bulkhead Interactive","Square Enix"
"126","Dead Maze","Feb 13, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Atelier 801","Atelier 801"
"127","Dreadnought","Oct 14, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Six Foot, YAGER","Grey Box"
"182","Navy Field 2 : Conqueror of the Ocean","Mar 5, 2015","N/A","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","SDEnterNet","SDEnterNet"
"224","Steel Ocean","Nov 12, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","ICE Entertainment","Changyou.com Limited"
"229","Age of Conan: Unchained","Feb 22, 2013","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Funcom","Funcom"
"261","Eternal Card Game","Nov 15, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","19:46 (06:35)","Dire Wolf","Dire Wolf"
"265","Prominence Poker","Dec 12, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","02:36 (00:52)","Pipeworks Studio","505 Games"
"272","MU Legend","Aug 6, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","WEBZEN","WEBZEN"
"279","Animal Jam - Play Wild!","Dec 11, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","WildWorks, Inc.","WildWorks, Inc."
"362","AdventureQuest 3D","Oct 19, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Artix Entertainment, LLC","Artix Entertainment, LLC"
"363","Shop Heroes","Aug 15, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Cloudcade, Inc.","Cloudcade, Inc."
"364","Villagers and Heroes","Apr 17, 2014","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Mad Otter Games","Mad Otter Games"
"365","Skyforge","Apr 13, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Allods Team","MY.GAMES"
"367","Strike.is: The Game","Jul 14, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","04:37 (01:32)","Freakinware Limited","Freakinware Limited"
"383","Battlerite Royale","Sep 26, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","19:53 (06:37)","Stunlock Studios","Stunlock Studios"
"384","Infinity Wars: Animated Trading Card Game","Sep 5, 2014","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Lightmare Studios","Lightmare Studios, Yodo1 Games"
"385","RPG MO","Aug 18, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Marxnet","Marxnet"
"432","Miscreated","Dec 18, 2018","$9.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Entrada Interactive LLC","Entrada Interactive LLC"
"436","Of Guards And Thieves","Jul 16, 2014","Free","N/A (N/A)","500,000 .. 1,000,000","00:20 (00:06)","Subvert Games","Subvert Games"
"437","Mabinogi","Dec 6, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","NEXON Korea Corp.","Nexon America Inc."
"439","ONRAID","Apr 18, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Pragmatix Ltd","Pragmatix Ltd"
"491","Kingdom Wars","Apr 1, 2013","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Reverie World Studios",""
"538","Closers","Feb 6, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Naddic Games","En Masse Entertainment"
"541","Heaven Island - VR MMO","Dec 23, 2015","$0.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Fabio Ferrara, Giulia Airoldi","Chubby Pixel"
"543","Continent of the Ninth Seal","Sep 13, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Cloud 9 Studio","Webzen"
"545","EverQuest","Dec 13, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"633","Boring Man - Online Tactical Stickman Combat","Feb 20, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Spasman Games","Spasman Games"
"634","Governor of Poker 3","Feb 19, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:06 (00:02)","Azerion, YoudaGames","Azerion, Youda Games Holding B.V."
"635","BattleRush","Mar 27, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Thunder Devs.","Thunder Devs."
"638","Warhammer 40,000: Eternal Crusade","Mar 16, 2017","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Behaviour Interactive Inc.","Behaviour Interactive Inc."
"641","Forge of Gods (RPG)","May 6, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Panoramik Inc","Panoramik Inc"
"642","Mortal Online","Aug 31, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Star Vault AB","Star Vault AB"
"691","VEGA Conflict","Dec 14, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","KIXEYE","KIXEYE"
"692","Dragon Nest","Dec 18, 2012","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Eyedentity Games Inc.","Eyedentity Games Inc."
"694","Modern Combat 5","Oct 24, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Gameloft","Gameloft"
"696","Audition Online","Jun 3, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","T3 Entertainment","Redbana Corporation"
"758","Dark and Light","Jul 20, 2017","$17.99","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Snail Games USA","Snail Games USA"
"760","8BitMMO","Jan 26, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Archive Entertainment","Archive Entertainment"
"764","Time of Dragons","Feb 1, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","4 I Lab","4 I Lab"
"792","DRAGON BALL XENOVERSE 2","Oct 27, 2016","$49.99","N/A (N/A)","500,000 .. 1,000,000","01:16 (00:25)","QLOC, DIMPS","BANDAI NAMCO Entertainment"
"793","The Crew 2","Jun 28, 2018","$59.99","N/A (N/A)","500,000 .. 1,000,000","01:31 (01:42)","Ivory Tower","Ubisoft"
"802","Fog Of War - Free Edition","Feb 22, 2018","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Monkeys Lab.","Monkeys Lab."
"804","Divine Souls F2P MMO","Aug 15, 2014","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","GamePrix","Suba Games"
"846","Rec Room","Jun 28, 2016","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Rec Room","Rec Room"
"848","Nomad","Jun 26, 2015","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Diminished Studios","Diminished Studios"
"853","Royal Quest","Aug 6, 2014","Free","N/A (N/A)","500,000 .. 1,000,000","00:00 (00:00)","Katauri","1C Online Games"
"41","Runes of Magic","Aug 29, 2018","Free","N/A (N/A/71%)","200,000 .. 500,000","00:00 (00:00)","Runewaker Entertainment","Gameforge 4D GmbH‬"
"43","The Crew","Dec 1, 2014","$29.99","N/A (N/A/71%)","200,000 .. 500,000","00:00 (00:00)","Ivory Tower in collaboration with Ubisoft Reflections","Ubisoft"
"47","Allods Online RU","Jan 26, 2016","Free","N/A (N/A/69%)","200,000 .. 500,000","00:00 (00:00)","IT Territory","MY.GAMES"
"54","Dragon Saga","Dec 22, 2015","Free","N/A (N/A/65%)","200,000 .. 500,000","00:00 (00:00)","Gravity Interactive","Gravity Interactive"
"58","Dragon's Prophet","Sep 18, 2013","Free","N/A (N/A/63%)","200,000 .. 500,000","00:00 (00:00)","Runewaker","Infernum Productions AG"
"59","Spellweaver","Feb 1, 2016","Free","N/A (N/A/63%)","200,000 .. 500,000","00:00 (00:00)","Dream Reactor","Dream Reactor"
"66","Defiance 2050","Jul 10, 2018","Free","N/A (N/A/48%)","200,000 .. 500,000","00:00 (00:00)","Trion Worlds","Trion Worlds"
"73","Bless Online","Oct 23, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","NEOWIZ BLESS STUDIO","NEOWIZ"
"79","Mighty Party","Mar 30, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Panoramik Inc","Panoramik Inc"
"80","PlanetSide Arena","Sep 19, 2019","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"83","Just Fishing","Dec 15, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Just Fishing LLC","Just Fishing LLC"
"85","Requiem: Rise of the Reaver","Jun 19, 2008","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gravity Interactive, Inc.","Gravity Interactive, Inc."
"124","Post Scriptum","Aug 9, 2018","$29.99","N/A (N/A)","200,000 .. 500,000","02:01 (00:40)","Periscope Games","Offworld Industries"
"128","Tanki Online","Mar 2, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:07 (00:02)","Tanki Online Ltd.","APL Publishing Ltd."
"130","CityBattle | Virtual Earth","Oct 2, 2018","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","LLC RIKOR IMT","LLC RIKOR IMT"
"133","Survived By","Dec 5, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Human Head Studios","Digital Extremes"
"137","Helmet Heroes","Mar 10, 2013","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Helmet Games","Helmet Games"
"138","ROSE Online","Oct 23, 2012","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gravity Interactive","Gravity Interactive"
"142","Dungeon-Party","Mar 13, 2013","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Cyanide Studio","Bigben Interactive"
"143","Take Thy Throne","Jul 5, 2016","$1.99","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Charyb Games","Charyb Games"
"175","My Lands: Black Gem Hunting","Sep 16, 2014","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Gravvit Ltd, Forbes Consult Ltd","ELYLAND INVESTMENT COMPANY Ltd"
"176","Life is Feudal: MMO","Jan 12, 2018","Free","N/A (N/A)","200,000 .. 500,000","05:03 (01:41)","Bitbox Ltd.","Bitbox Ltd."
"178","Tanki X","Mar 13, 2018","N/A","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","AlternativaPlatform","AlternativaPlatform Ltd."
"179","Just Cause 3: Multiplayer Mod","Jul 20, 2017","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","nanos GbR","nanos GbR, Square Enix"
"180","Atom Fishing II","Nov 29, 2016","Free","N/A (N/A)","200,000 .. 500,000","00:00 (00:00)","Woolf","R-Age"
