game,release_date,price,metascore,owners,avg_playtime,median_playtime,developers,publishers,trending
SONAR Steam Editions,2016-04-29,NA,NA,"0 .. 20,000",0,0,Cakewalk,Cakewalk,NA
ScriptVOX Studio,2016-04-29,29.99,NA,"0 .. 20,000",0,0,Screaming Bee,Screaming Bee,NA
Offworld Trading Company,2016-04-28,29.99,78,"500,000 .. 1,000,000",25,16,Mohawk Games,Stardock Entertainment,NA
Neon Chrome,2016-04-28,14.99,74,"200,000 .. 500,000",0,0,10tons Ltd,10tons Ltd,NA
Worlds Adrift Island Creator,2016-04-28,0,NA,"200,000 .. 500,000",0,0,Bossa Studios,Bossa Studios,NA
Bigscreen Beta,2016-04-28,0,NA,"200,000 .. 500,000",0,0,"Bigscreen, Inc.","Bigscreen, Inc.",NA
侠客风云传(Tale of Wuxia),2016-04-28,16.99,NA,"100,000 .. 200,000",0,0,Heluo Studio,FHYX（凤凰游戏）,NA
Hero Battle,2016-04-28,6.99,NA,"50,000 .. 100,000",0,0,Wang Liwen,Wang Liwen,NA
Chill the Piro,2016-04-28,1.99,NA,"20,000 .. 50,000",0,0,"Sergey Marchenko, Vyacheslav Ozolnieks",Sergey Marchenko,NA
Pro Gamer Manager,2016-04-28,9.99,NA,"20,000 .. 50,000",0,0,Raptor Claw Games,501 Industries,NA
Pharaonic,2016-04-28,14.99,NA,"20,000 .. 50,000",0,0,Milkstone Studios,Milkstone Studios,NA
Left Alone,2016-04-28,6.99,NA,"20,000 .. 50,000",0,0,Volumetric Games,Volumetric Games,NA
FATED: The Silent Oath,2016-04-28,9.99,67,"0 .. 20,000",0,0,Frima Studio,Frima Originals,NA
Back in 1995,2016-04-28,9.99,52,"0 .. 20,000",0,0,Throw the warped code out,Degica,NA
New Yankee in King Arthur's Court,2016-04-28,4.99,NA,"0 .. 20,000",0,0,Rionix,Buka Entertainment,NA
Blaster Simulator,2016-04-28,4.99,NA,"0 .. 20,000",0,0,United Independent Entertainment GmbH,United Independent Entertainment GmbH,NA
Izeriya,2016-04-28,0.99,NA,"0 .. 20,000",0,0,LigaGamesStudio,LigaGamesStudio,NA
Maze: Subject 360 Collector's Edition,2016-04-28,9.99,NA,"0 .. 20,000",0,0,Mad Head Games,Big Fish Games,NA
Bunny Bash,2016-04-28,15.99,NA,"0 .. 20,000",0,0,DarkArts Studios,DarkArts Studios,NA
Ultimate Fight Manager 2016,2016-04-28,NA,NA,"0 .. 20,000",0,0,"Snowfall, Night Node Software",Night Node Software,NA
Grave Mania: Undead Fever,2016-04-28,6.99,NA,"0 .. 20,000",0,0,Anino Games,Big Fish Games,NA
Cyberpong,2016-04-28,8.99,NA,"0 .. 20,000",0,0,"COLOPL, Inc.","COLOPL, Inc.",NA
PICO PARK,2016-04-28,4.99,NA,"0 .. 20,000",0,0,TECOPARK,TECOPARK,NA
CyberLink AudioDirector 6,2016-04-28,NA,NA,"0 .. 20,000",0,0,CyberLink,"Koch Media , CyberLink",NA
Ori and the Blind Forest: Definitive Edition,2016-04-27,19.99,88,"1,000,000 .. 2,000,000",0,0,Moon Studios GmbH,Xbox Game Studios,NA
NORTH,2016-04-27,1.99,NA,"200,000 .. 500,000",0,0,Outlands,Sometimes You,NA
State of Anarchy,2016-04-27,0.99,NA,"100,000 .. 200,000",0,0,Lapovich,New Reality Games,NA
The Panic Room,2016-04-27,0,NA,"100,000 .. 200,000",0,0,NIKITA ONLINE,NIKITA ONLINE,NA
Emerge: Cities of the Apocalypse,2016-04-27,7.99,NA,"20,000 .. 50,000",0,0,Emilios Manolidis,Emilios Manolidis,NA
Boss Monster,2016-04-27,NA,NA,"20,000 .. 50,000",0,0,Plain Concepts Corp,Plain Concepts Corp,NA
BASEBALL STARS 2,2016-04-27,7.99,NA,"20,000 .. 50,000",0,0,"SNK CORPORATION, Dotemu",SNK CORPORATION,NA
Root Double -Before Crime * After Days- Xtend Edition,2016-04-27,34.99,NA,"20,000 .. 50,000",0,0,"Yeti, Regista",Sekai Project,NA
Wailing Heights,2016-04-27,9.99,70,"0 .. 20,000",0,0,Outsider Games,Outsider Games,NA
Snooker Nation Championship,2016-04-27,3.99,NA,"0 .. 20,000",0,0,Cherry Pop Games,Cherry Pop Games,NA
iOMoon,2016-04-27,5.99,NA,"0 .. 20,000",0,0,Headtrip Games llc,Headtrip Games llc,NA
C14 Dating,2016-04-27,19.99,NA,"0 .. 20,000",0,0,Winter Wolves,Winter Wolves,NA
The Orphan Dreams,2016-04-27,3.99,NA,"0 .. 20,000",0,0,Tayfun Tuna,Tayfun Tuna,NA
Falling Stars: War of Empires,2016-04-27,19.99,NA,"0 .. 20,000",0,0,Riveted Games,Lock 'n Load Publishing,NA
Maui,2016-04-26,0,NA,"100,000 .. 200,000",0,0,Kokua Games,Kokua Games,NA
Caveman World: Mountains of Unga Boonga,2016-04-26,1.99,NA,"100,000 .. 200,000",0,0,GrabTheGames Studios,GrabTheGames,NA
Hyperdevotion Noire: Goddess Black Heart (Neptunia),2016-04-26,14.99,NA,"50,000 .. 100,000",0,0,"Idea Factory, Compile Heart, Sting",Idea Factory International,NA
Cornerstone: The Song of Tyrim,2016-04-26,19.99,58,"20,000 .. 50,000",0,0,Overflow,Phoenix Online Publishing,NA
The East New World,2016-04-26,4.99,NA,"20,000 .. 50,000",0,0,TEN10 Games,TEN10 Games,NA
Special Tactics Online,2016-04-26,4.99,NA,"0 .. 20,000",0,0,Beast Mode Games,Beast Mode Games,NA
Dashy Square,2016-04-26,2.99,NA,"0 .. 20,000",0,0,"Kastriot Sulejmani, Logan Gerrol",KasSanity,NA
Corpse Party,2016-04-25,14.99,71,"20,000 .. 50,000",0,0,GrisGris,"XSEED Games, Marvelous USA, Inc.",NA
30 IMPOSSIBLE LEVELS,2016-04-25,3.99,NA,"20,000 .. 50,000",0,0,Abstract Tree Studio,Abstract Tree Studio,NA
HoloBall,2016-04-25,14.99,NA,"20,000 .. 50,000",0,0,TreeFortress Games,TreeFortress Games,NA
Otem's Defiance,2016-04-25,6.99,NA,"0 .. 20,000",0,0,HyperBerry Games,HyperBerry Games,NA
Lifestream - A Haunting Text Adventure,2016-04-25,2.99,NA,"0 .. 20,000",0,0,Storycentric Worlds,Unimatrix Productions,NA
Colours of Magic: Aqua Teeter,2016-04-25,0.99,NA,"0 .. 20,000",0,0,RunServer,RunServer,NA
Sky Tower,2016-04-25,4.99,NA,"0 .. 20,000",0,0,Animootor,Animootor,NA
Strike Force: Desert Thunder,2016-04-25,2.99,NA,"0 .. 20,000",0,0,West Forest Games,West Forest Games,NA
Demons with Shotguns,2016-04-25,9.99,NA,"0 .. 20,000",0,0,"MindShaft Games, LLC","MindShaft Games, LLC",NA
Deckadance 2,2016-04-25,49.99,NA,"0 .. 20,000",0,0,Stanton DJ,Stanton DJ,NA
Toxic Terror,2016-04-24,0.99,NA,"0 .. 20,000",0,0,Fascimania,Fascimania,NA
Grizzly Valley,2016-04-23,4.99,NA,"100,000 .. 200,000",0,0,The_Kiddy,The_Kiddy,NA
8-Bit Armies,2016-04-22,7.49,69,"100,000 .. 200,000",0,0,Petroglyph,Petroglyph,NA
Mahjong Deluxe 3,2016-04-22,3.99,NA,"50,000 .. 100,000",0,0,EnsenaSoft,EnsenaSoft,NA
Wayward,2016-04-22,7.99,NA,"50,000 .. 100,000",0,0,Unlok,Unlok,NA
Strategy & Tactics: Wargame Collection,2016-04-22,9.99,NA,"50,000 .. 100,000",0,0,HeroCraft,HeroCraft,NA
Cakewalk ProChannel,2016-04-22,NA,NA,"50,000 .. 100,000",0,0,Cakewalk,Cakewalk,NA
REDCON,2016-04-22,5.99,NA,"50,000 .. 100,000",0,0,Hexage,Hexage,NA
The Huntsman: Winter's Curse,2016-04-22,0,NA,"50,000 .. 100,000",0,0,Desert Owl Games LLC,Desert Owl Games LLC,NA
Gems of the Aztecs,2016-04-22,4.99,NA,"20,000 .. 50,000",0,0,Wellore,8Floor,NA
Drusilla Dreams,2016-04-22,0.99,NA,"20,000 .. 50,000",0,0,Seraphim Creations,Seraphim Creations,NA
CTU: Counter Terrorism Unit,2016-04-22,4.99,NA,"20,000 .. 50,000",0,0,Odin Game Studio,Excalibur Publishing,NA
Moonchild,2016-04-22,9.99,NA,"20,000 .. 50,000",0,0,Aldorlea Games,Aldorlea Games,NA
Revenge of Roger Rouge,2016-04-22,0.99,NA,"20,000 .. 50,000",0,0,Trazzy Entertainment,Trazzy Entertainment,NA
Save the Dodos,2016-04-22,2.99,NA,"20,000 .. 50,000",0,0,3DDUO,SOEDESCO Publishing,NA
TableTop Soccer,2016-04-22,0.99,NA,"0 .. 20,000",0,0,Dancing Developers,Dancing Developers,NA
The Sea Eternal,2016-04-22,5.99,NA,"0 .. 20,000",0,0,Choice of Games,Choice of Games,NA
Puzzle Box,2016-04-22,9.99,NA,"0 .. 20,000",0,0,BplusGames,OtakuMaker.com,NA
Mini Metal,2016-04-22,9.99,NA,"0 .. 20,000",0,0,Luandun Games Pte. Ltd.,Luandun Games Pte. Ltd.,NA
Deadweight,2016-04-22,0.99,NA,"0 .. 20,000",0,0,Daniel Kim,Daniel Kim,NA
One Way Flight,2016-04-22,2.99,NA,"0 .. 20,000",0,0,SiBear Games,SiBear Games,NA
Link,2016-04-22,4.99,NA,"0 .. 20,000",0,0,Brainwashing Games,Brainwashing Games,NA
Best of Us,2016-04-22,2.99,NA,"0 .. 20,000",0,0,Hosted Games,Hosted Games,NA
Poly Towns,2016-04-22,4.99,NA,"0 .. 20,000",0,0,Red Phoenix Studios,Red Phoenix Studios,NA
Don't Starve Together,2016-04-21,14.99,83,"5,000,000 .. 10,000,000",224,78,Klei Entertainment,Klei Entertainment,Yes
Battlefleet Gothic: Armada,2016-04-21,19.99,77,"200,000 .. 500,000",0,0,Tindalos Interactive,Focus Home Interactive,NA
Epic Clicker Journey,2016-04-21,0,NA,"100,000 .. 200,000",0,0,Cleversan Software,Cleversan Software,NA
Mythic Wonders: The Philosopher's Stone,2016-04-21,9.99,NA,"50,000 .. 100,000",0,0,Organic 2 Digital Studio,Artifex Mundi,NA
OPUS: The Day We Found Earth,2016-04-21,8.99,NA,"50,000 .. 100,000",0,0,SIGONO INC.,SIGONO INC.,NA
Frederic: Resurrection of Music Director's Cut,2016-04-21,5.99,NA,"50,000 .. 100,000",0,0,Forever Entertainment S. A.,Forever Entertainment S. A.,NA
Western Press,2016-04-21,4.99,NA,"20,000 .. 50,000",0,0,Bandit-1,Fellow Traveller,NA
Bottle,2016-04-21,0.99,NA,"20,000 .. 50,000",0,0,Tonguç Bodur,Tonguç Bodur,NA
WOLFLAME,2016-04-21,5.99,NA,"20,000 .. 50,000",0,0,ASTRO PORT,Henteko Doujin,NA
Bridge! 2,2016-04-21,9.99,NA,"20,000 .. 50,000",0,0,toxtronyx interactive GmbH,Aerosoft GmbH,NA
Eternal Destiny,2016-04-21,9.99,NA,"20,000 .. 50,000",0,0,Office 5656,Degica,NA
Qubicle Voxel Editor,2016-04-21,19.99,NA,"0 .. 20,000",0,0,Minddesk Software GmbH,Minddesk Software GmbH,NA
My Night Job,2016-04-21,3.99,NA,"0 .. 20,000",0,0,Webcore Games,bitComposer Interactive GmbH,NA
Demon's Crystals,2016-04-21,4.99,NA,"0 .. 20,000",0,0,"Byte4Games, Byte4games SL.",BadLand Publishing,NA
Witch and Hero(魔女と勇者),2016-04-21,4.99,NA,"0 .. 20,000",0,0,"FK Digital, Flyhigh Works","Flyhigh Works, CIRCLE Entertainment",NA
Endciv,2016-04-21,15.99,NA,"0 .. 20,000",0,0,Crowbox,Crowbox,NA
Bloons TD Battles,2016-04-20,0,NA,"1,000,000 .. 2,000,000",0,0,Ninja Kiwi,Ninja Kiwi,NA
Heaven Island Life,2016-04-20,0.99,NA,"500,000 .. 1,000,000",0,0,Fabio Ferrara,Chubby Pixel,NA
3 Coins At School,2016-04-20,4.99,NA,"50,000 .. 100,000",0,0,89AM Studio,89AM Studio,NA
Colosse,2016-04-20,NA,NA,"50,000 .. 100,000",0,0,Colosse Team,Fire Panda Ltd.,NA
Megamagic: Wizards of the Neon Age,2016-04-20,9.99,67,"20,000 .. 50,000",0,0,BeautiFun Games,BeautiFun Games,NA
March of the Living,2016-04-20,14.99,63,"20,000 .. 50,000",0,0,Machine 22,Creaky Corpse Ltd,NA
Zotrix - Solar Division,2016-04-20,14.99,NA,"20,000 .. 50,000",0,0,ZeroBit Games,Ocean Media LLC,NA
Oil Enterprise,2016-04-20,24.99,NA,"20,000 .. 50,000",0,0,Crafty Studios,astragon Entertainment,NA
Leave Me Alone: A Trip To Hell,2016-04-20,1.99,NA,"20,000 .. 50,000",0,0,Lisa Voronova,Lisa Voronova,NA
Overpower,2016-04-20,8.99,NA,"0 .. 20,000",0,0,Hydrant Games,Hydrant Games,NA
Masquerade: The Baubles of Doom,2016-04-20,14.99,NA,"0 .. 20,000",0,0,Big Ant Studios,Big Ant Studios,NA
World Keepers: Last Resort,2016-04-20,3.99,NA,"0 .. 20,000",0,0,Alawar Stargaze,Alawar Premium,NA
Rebound,2016-04-20,1.99,NA,"0 .. 20,000",0,0,Omnirift,Omnirift,NA
Sweet Escape VR,2016-04-20,4.99,NA,"0 .. 20,000",0,0,"Reailty Smash, Inc.","Reality Smash, Inc.",NA
Tank Brawl,2016-04-20,4.99,NA,"0 .. 20,000",0,0,Phung Games,Phung Games,NA
The Men of Yoshiwara: Ohgiya,2016-04-20,15.99,NA,"0 .. 20,000",0,0,Dogenzaka Lab,Dogenzaka Lab,NA
Infinite Shooter,2016-04-20,1.99,NA,"0 .. 20,000",0,0,Minion Productions Inc.,Minion Productions Inc.,NA
SpeedRunners,2016-04-19,14.99,84,"2,000,000 .. 5,000,000",86,28,DoubleDutch Games,tinyBuild,NA
HEX: Shards of Fate,2016-04-19,NA,87,"200,000 .. 500,000",0,0,Hex Entertainment,Hex Entertainment,NA
The Banner Saga 2,2016-04-19,24.99,82,"200,000 .. 500,000",0,0,Stoic,Versus Evil,NA
ARCADE GAME SERIES: DIG DUG,2016-04-19,3.99,NA,"100,000 .. 200,000",0,0,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,NA
ARCADE GAME SERIES: GALAGA,2016-04-19,3.99,NA,"100,000 .. 200,000",0,0,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,NA
Ice Lakes,2016-04-19,14.99,NA,"100,000 .. 200,000",0,0,Iceflake Studios,Iceflake Studios,NA
Melty Blood Actress Again Current Code,2016-04-19,24.99,NA,"100,000 .. 200,000",0,0,FRENCH-BREAD,Arc System Works,NA
IS Defense,2016-04-19,5.99,50,"50,000 .. 100,000",0,0,Destructive Creations,Destructive Creations,NA
The Black Death,2016-04-19,19.99,NA,"50,000 .. 100,000",0,0,"Syrin Studios, Small Impact Games",Green Man Gaming Publishing,NA
Ghoul Kid,2016-04-19,0,NA,"50,000 .. 100,000",0,0,Specter Game Studios,Specter Game Studios,NA
ARCADE GAME SERIES: PAC-MAN,2016-04-19,3.99,NA,"50,000 .. 100,000",0,0,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,NA
ARCADE GAME SERIES: Ms. PAC-MAN,2016-04-19,3.99,NA,"20,000 .. 50,000",0,0,BANDAI NAMCO Studios Inc.,BANDAI NAMCO Entertainment,NA
JiPS,2016-04-19,2.99,NA,"20,000 .. 50,000",211,70,Trazzy Entertainment,Trazzy Entertainment,NA
SteamVR Driver for Razer Hydra,2016-04-19,0,NA,"20,000 .. 50,000",0,0,Andras Beck,betaVR,NA
LOUD on Planet X,2016-04-19,7.99,72,"0 .. 20,000",0,0,Pop Sandbox,Pop Sandbox,NA
The Collider 2,2016-04-19,NA,70,"0 .. 20,000",0,0,Shortbreak Studios s.c.,Shortbreak Studios s.c.,NA
Chromaestro,2016-04-19,0.99,NA,"0 .. 20,000",0,0,"Parsec Productions, LLC","Parsec Productions, LLC",NA
P·O·L·L·E·N,2016-04-19,9.99,NA,"0 .. 20,000",0,0,Mindfield Games,Mindfield Games,NA
Muddy Heights 2,2016-04-19,2.99,NA,"0 .. 20,000",0,0,"Rageborn Studio, LLC","Rageborn Studio, LLC",NA
Unveil,2016-04-19,14.99,NA,"0 .. 20,000",0,0,Particle Studios,Particle Studios,NA
Action Legion,2016-04-19,5.99,NA,"0 .. 20,000",0,0,Aeonic Entertainment,Aeonic Entertainment,NA
Danganronpa 2: Goodbye Despair,2016-04-18,19.99,83,"200,000 .. 500,000",0,0,"Spike Chunsoft Co., Ltd., Abstraction Games","Spike Chunsoft Co., Ltd.",NA
The Average Everyday Adventures of Samantha Browne,2016-04-18,0,NA,"100,000 .. 200,000",0,0,Lemonsucker Games,Lemonsucker Games,NA
Plastic Playground,2016-04-18,0,NA,"100,000 .. 200,000",0,0,Tomorrow Arts,GP Games,NA
Stephen's Sausage Roll,2016-04-18,29.99,90,"20,000 .. 50,000",0,0,increpare games,increpare games,NA
Battlezone 98 Redux,2016-04-18,19.99,75,"20,000 .. 50,000",0,0,Big Boat Interactive,Rebellion,NA
Poly Runner VR,2016-04-18,NA,NA,"20,000 .. 50,000",0,0,"Lucid Sight, Inc.","Lucid Sight, Inc.",NA
Typefighters (Steam Edition),2016-04-18,1.99,NA,"20,000 .. 50,000",0,0,Christian Reuter,Christian Reuter,NA
Pang Adventures,2016-04-18,9.99,NA,"20,000 .. 50,000",0,0,Dotemu,Dotemu,NA
8i - Make VR Human,2016-04-18,NA,NA,"20,000 .. 50,000",0,0,8i,8i,NA
Tales Across Time,2016-04-18,2.99,NA,"0 .. 20,000",0,0,Critical Games,Critical Games,NA
A Matter of Murder,2016-04-18,2.99,NA,"0 .. 20,000",0,0,Worthing & Moncrieff,Worthing & Moncrieff,NA
Paintey,2016-04-18,9.99,NA,"0 .. 20,000",0,0,Brian Lindenhof,ShadowBrain Games,NA
A-Gents,2016-04-17,4.99,NA,"20,000 .. 50,000",0,0,phime studio LLC,phime studio LLC,NA
Bipolar Game,2016-04-17,9.99,NA,"0 .. 20,000",0,0,Jason Free,Jason Free,NA
The SKIES,2016-04-16,0,NA,"1,000,000 .. 2,000,000",0,0,Eforb,Eforb,NA
Ultimate Booster Experience,2016-04-16,4.99,NA,"20,000 .. 50,000",0,0,GexagonVR,GexagonVR,NA
Combat Racers,2016-04-16,6.99,NA,"0 .. 20,000",0,0,The Major Game Company,The Major Game Company,NA
Spaceport Hope,2016-04-15,1.99,NA,"200,000 .. 500,000",0,0,team BitClub,"team BitClub , Sunken Treasure Games",NA
Zombie Training Simulator,2016-04-15,19.99,NA,"100,000 .. 200,000",0,0,"Acceleroto, Inc.","Acceleroto, Inc.",NA
Khimera: Destroy All Monster Girls,2016-04-15,0,NA,"100,000 .. 200,000",0,0,Suits & Sandals,Suits & Sandals,NA
Imperia Online,2016-04-15,0,NA,"50,000 .. 100,000",0,0,Imperia Online JSC,Imperia Online JSC,NA
SurrealVR,2016-04-15,0,NA,"50,000 .. 100,000",0,0,Surreal Games,Surreal Games,NA
I Want To Be Human,2016-04-15,2.99,53,"0 .. 20,000",0,0,Sinclair Strange,Rising Star Games,NA
Night Blights,2016-04-15,6.99,NA,"0 .. 20,000",0,0,"Trapdoor Games, Hot Cross Games",Trapdoor Games,NA
Gravity Den,2016-04-15,4.99,NA,"0 .. 20,000",0,0,DiPi Games,DiPi Games,NA
Planet in the Shadows,2016-04-15,3.99,NA,"0 .. 20,000",0,0,Sergey Bobrov,Sergey Bobrov,NA
Andromedum,2016-04-15,1.99,NA,"0 .. 20,000",0,0,Imbanova Entertainment Inc.,Imbanova Entertainment Inc.,NA
Grenade Madness,2016-04-15,9.99,NA,"0 .. 20,000",0,0,Touch Orchestra,Touch Orchestra,NA
Worst Case Z,2016-04-15,12.99,NA,"0 .. 20,000",0,0,BME Digital Studios,BME Digital Studios,NA
Tyrfing Cycle |Vanilla|,2016-04-15,1.99,NA,"0 .. 20,000",0,0,Demon Sword Games,Games Starter,NA
So Long Earth,2016-04-15,0,NA,"0 .. 20,000",0,0,Ed Farage,Ed Farage,NA
Gahkthun of the Golden Lightning Steam Edition,2016-04-15,39.99,NA,"0 .. 20,000",0,0,Liar-soft,MangaGamer,NA
FINAL FANTASY IX,2016-04-14,20.99,84,"200,000 .. 500,000",0,0,Square Enix,Square Enix,NA
Lucid9: Inciting Incident,2016-04-14,0,NA,"100,000 .. 200,000",0,0,Fallen Snow Studios,Sekai Project,NA
Goetia,2016-04-14,2.99,79,"50,000 .. 100,000",0,0,Sushee,Square Enix,NA
Aurion: Legacy of the Kori-Odan,2016-04-14,14.99,69,"50,000 .. 100,000",0,0,Kiro'o Games,Dear Villagers,NA
Roll'd,2016-04-14,0.99,NA,"50,000 .. 100,000",0,0,MGP Studios,Forever Entertainment S. A.,NA
METAL SLUG 2,2016-04-14,6.99,NA,"50,000 .. 100,000",0,0,"SNK CORPORATION, Dotemu",SNK CORPORATION,NA
Everybody's Gone to the Rapture,2016-04-14,19.99,76,"20,000 .. 50,000",0,0,The Chinese Room,"PlayStation Mobile, Inc.",NA
Code of Princess,2016-04-14,14.99,53,"20,000 .. 50,000",0,0,Studio Saizensen,Degica,NA
Tyto Ecology,2016-04-14,6.99,NA,"20,000 .. 50,000",0,0,Immersed Games,Immersed Games,NA
Wobbly Jungle,2016-04-14,1.99,NA,"20,000 .. 50,000",0,0,Sourena Game Studio,bitComposer Interactive GmbH,NA
Zombie Parking,2016-04-14,0.99,NA,"0 .. 20,000",0,0,XPAGAME,XPAGAME,NA
"States, Firms, & Households",2016-04-14,29.99,NA,"0 .. 20,000",0,0,DMD 'Ware,DMD 'Ware,NA
Phantasmal: Survival Horror Roguelike,2016-04-14,0,NA,"0 .. 20,000",0,0,Eyemobi Ltd.,Eyemobi Ltd.,NA
Massive,2016-04-14,9.99,NA,"0 .. 20,000",0,0,Rootify,Rootify,NA
Starlight Vega,2016-04-14,9.99,NA,"0 .. 20,000",0,0,Razzart Visual,Razzart Visual,NA
XorceD - Sashiro's Laedrum,2016-04-14,12.99,NA,"0 .. 20,000",0,0,Xorcerox,Xorcerox,NA
Hero Quest: Tower Conflict,2016-04-13,0.99,NA,"200,000 .. 500,000",0,0,Mihai Morosanu,New Reality Games,NA
Twilight Struggle,2016-04-13,9.99,NA,"100,000 .. 200,000",0,0,"Playdek, Inc.",Asmodee Digital,NA
Clash of the Monsters,2016-04-13,0,NA,"100,000 .. 200,000",0,0,Cadence Games,Cadence Games,NA
Zenge,2016-04-13,0.99,NA,"100,000 .. 200,000",0,0,Michal Pawlowski,Hamster On Coke Games,NA
Last Hope - Tower Defense,2016-04-13,8.99,NA,"50,000 .. 100,000",0,0,JE Software,JE Software,NA
Club Life,2016-04-13,11.99,NA,"20,000 .. 50,000",0,0,Straywire,Dharker Studio,NA
Auro: A Monster-Bumping Adventure,2016-04-13,6.99,NA,"0 .. 20,000",0,0,Dinofarm Games,Dinofarm Games,NA
Soda Drinker Pro,2016-04-13,4.99,NA,"0 .. 20,000",0,0,Snowrunner Games,Snowrunner Games,NA
Wand Wars,2016-04-13,11.99,NA,"0 .. 20,000",0,0,Moonradish Inc.,Moonradish Inc.,NA
Pub Encounter,2016-04-13,17.99,NA,"0 .. 20,000",0,0,Dogenzaka Lab,Dogenzaka Lab,NA
The Crystal Reef,2016-04-13,0,NA,"0 .. 20,000",0,0,"Cody Karutz, Lauren Knapp, Jeremy Bailenson",Virtual Human Interaction Lab,NA
Grand Designer,2016-04-13,69.99,NA,"0 .. 20,000",0,0,Ignishot,Ignishot,NA
Welkin Road,2016-04-13,12.99,NA,"0 .. 20,000",0,0,Gregor Panič,Nkidu Games Inc.,NA
Discovering Colors - Animals,2016-04-13,3.99,NA,"0 .. 20,000",0,0,Frogames,Frogames,NA
Stories: The Path of Destinies,2016-04-12,14.99,74,"2,000,000 .. 5,000,000",0,0,Spearhead Games,Spearhead Games,NA
Dear RED - Extended,2016-04-12,2.99,NA,"50,000 .. 100,000",0,0,Lee Sang,Sometimes You,NA
Democracy 3 Africa,2016-04-12,14.99,NA,"50,000 .. 100,000",0,0,Positech Games,Positech Games,NA
Grove - VR Browsing Experience,2016-04-12,4.99,NA,"0 .. 20,000",0,0,Mure VR,Mure VR,NA
Marble Void,2016-04-12,4.99,NA,"0 .. 20,000",0,0,Leveled Games,Leveled Games,NA
DARK SOULS III,2016-04-11,59.99,89,"2,000,000 .. 5,000,000",1625,674,"FromSoftware, Inc.","FromSoftware, Inc., BANDAI NAMCO Entertainment",Yes
The Lost Souls,2016-04-11,4.99,NA,"100,000 .. 200,000",0,0,GDNomad,Infernal Dream,NA
Discovr Egypt: King Tut's Tomb,2016-04-11,0,NA,"20,000 .. 50,000",0,0,Discovr Labs,Discovr Labs,NA
Deer Man,2016-04-11,1.99,NA,"0 .. 20,000",0,0,"Red Mount Media, Antarsoft",Red Mount Media,NA
The Contact,2016-04-11,2.99,NA,"0 .. 20,000",0,0,Crusty Squirrel,Crusty Squirrel,NA
Ascent - The Space Game,2016-04-11,19.99,NA,"0 .. 20,000",0,0,Fluffy Kitten Studios,Fluffy Kitten Studios,NA
Chunks,2016-04-11,NA,NA,"0 .. 20,000",0,0,Facepunch Studios,Facepunch Studios,NA
Dawn of the Robot Empire,2016-04-11,5.99,NA,"0 .. 20,000",0,0,"oeFun, Inc.","oeFun, Inc.",NA
Beyond The Destiny,2016-04-11,NA,NA,"0 .. 20,000",0,0,BTD Team,BTD Team,NA
Devil Sealing Stone,2016-04-11,7.99,NA,"0 .. 20,000",0,0,WJLEGAME,WJLEGAME,NA
Hide & Hold Out - H2o,2016-04-09,17.99,NA,"0 .. 20,000",0,0,Red Abyss Software,Red Abyss Software,NA
Tower Unite,2016-04-08,14.99,NA,"200,000 .. 500,000",0,0,PixelTail Games,PixelTail Games,NA
Tenrow,2016-04-08,2.99,NA,"100,000 .. 200,000",0,0,Cleverweek,Cleverweek,NA
Game Tycoon 2,2016-04-08,10.99,NA,"50,000 .. 100,000",0,0,Sunlight Games,Sunlight Games,NA
Vrideo,2016-04-08,0,NA,"50,000 .. 100,000",0,0,"Vrideo, Inc.","Vrideo, Inc.",NA
StarsOne,2016-04-08,9.99,NA,"20,000 .. 50,000",0,0,IllusoryWorldEntertainment,IllusoryWorldEntertainment,NA
Warden: Melody of the Undergrowth,2016-04-08,19.99,59,"0 .. 20,000",0,0,Cardboard Keep,Cardboard Keep,NA
The Hero Project: Redemption Season,2016-04-08,3.99,NA,"0 .. 20,000",0,0,Choice of Games,Choice of Games,NA
Glitchrunners,2016-04-08,12.99,NA,"0 .. 20,000",0,0,Torque Studios,Green Man Gaming Publishing,NA
Ace of Seafood,2016-04-08,11.99,NA,"0 .. 20,000",0,0,Nussoft,PLAYISM,NA
BLEAK: Welcome to Glimmer,2016-04-08,7.99,NA,"0 .. 20,000",0,0,"Tenwall Creatives, Inc.","Tenwall Creatives, Inc.",NA
Space Scaven,2016-04-08,6.99,NA,"0 .. 20,000",0,0,Moon Pub Games,Moon Pub Games,NA
Fortify,2016-04-08,4.99,NA,"0 .. 20,000",0,0,Holgersson Entertainment,Holgersson Entertainment,NA
S2ENGINE HD,2016-04-08,19.99,NA,"0 .. 20,000",0,0,Profenix Studio SRLS,Profenix Studio SRLS,NA
Automata Empire,2016-04-08,8.99,NA,"0 .. 20,000",0,0,Nonadecimal Creative,Nonadecimal Creative,NA
Silver Bullet: Prometheus,2016-04-08,4.99,NA,"0 .. 20,000",0,0,Byulbram,Byulbram Studio,NA
Virtual Rogue,2016-04-08,NA,NA,"0 .. 20,000",0,0,Snowy Productions,Byulbram Studio,NA
Antenna,2016-04-07,0,NA,"200,000 .. 500,000",0,0,LWNA,LWNA,NA
Mushroom Wars,2016-04-07,9.99,80,"50,000 .. 100,000",0,0,"Zillion Whales, Creat Studios",Zillion Whales,NA
