"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"20","Rome: Total War - Alexander","Jun 26, 2006","$4.41","N/A (N/A/79%)","500,000 .. 1,000,000","00:00 (00:00)","The Creative Assembly","SEGA"
"74","Guilty Gear Isuka","Jun 20, 2006","$9.99","N/A (N/A)","50,000 .. 100,000","00:00 (00:00)","Arc System Works","Arc System Works"
"43","Cossacks II: Battle for Europe","Jun 19, 2006","$4.99","N/A (N/A/69%)","100,000 .. 200,000","00:00 (00:00)","GSC Game World","GSC World Publishing"
"73","Domino","Jun 8, 2006","$4.99","N/A (N/A)","0 .. 20,000","00:00 (00:00)","bakno Games","bakno Games"
"4","Half-Life 2: Episode One","Jun 1, 2006","$7.99","N/A (N/A/87%)","5,000,000 .. 10,000,000","00:00 (00:00)","Valve","Valve"
"11","Hitman: Blood Money","May 30, 2006","$9.99","N/A (N/A/82%)","1,000,000 .. 2,000,000","00:00 (00:00)","Io-Interactive A/S","Io-Interactive A/S"
"32","Act of War: High Treason","May 30, 2006","$2.99","N/A (N/A/74%)","20,000 .. 50,000","00:00 (00:00)","Eugen Systems","THQ Nordic"
"59","Wings Over Europe","May 24, 2006","$9.99","N/A (N/A/62%)","0 .. 20,000","00:00 (00:00)","Third Wire Productions","Strategy First"
"22","Heroes of Might & Magic V","May 23, 2006","$9.99","N/A (N/A/77%)","200,000 .. 500,000","00:00 (00:00)","Nival","Ubisoft"
"54","Devil May Cry 3 Special Edition","May 23, 2006","$19.99","N/A (N/A/66%)","200,000 .. 500,000","00:00 (00:00)","CAPCOM Co., Ltd.","Capcom"
"44","Rogue Trooper","May 23, 2006","$9.99","N/A (N/A/69%)","50,000 .. 100,000","00:00 (00:00)","Rebellion","Rebellion"
"28","SiN Episodes: Emergence","May 10, 2006","$9.99","N/A (N/A/75%)","200,000 .. 500,000","00:00 (00:00)","Ritual Entertainment","Ritual Entertainment"
"34","Shadowgrounds","May 8, 2006","$6.99","N/A (N/A/74%)","500,000 .. 1,000,000","00:00 (00:00)","Frozenbyte","Frozenbyte"
"55","Desperados 2: Cooper's Revenge","May 2, 2006","$9.99","N/A (N/A/66%)","50,000 .. 100,000","00:00 (00:00)","Spellbound","THQ Nordic"
